"date","mac_address","temperature","humidity","dew_point","door1","door2","motion1","motion2"
"2023-11-13 00:00:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 00:30:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 01:00:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 01:30:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 02:00:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 02:30:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 03:00:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 03:30:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 04:00:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 04:30:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 05:00:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 05:30:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 06:00:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 06:30:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 07:00:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 07:30:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 08:00:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 08:30:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 09:00:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 09:30:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 10:00:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 10:30:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 11:00:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 11:30:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 12:00:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 12:30:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 13:00:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 13:30:00","W220_8913B8",NA,NA,NA,NA,NA,NA,NA
"2023-11-13 14:00:00","W220_8913B8",14.0166666666667,15.0333333333333,-12.3,0,0,0,0
"2023-11-13 14:30:00","W220_8913B8",15.75,15.1333333333333,-10.8333333333333,0,17,0,8
"2023-11-13 15:00:00","W220_8913B8",16.1666666666667,15.1,-10.4666666666667,0,6,0,22
"2023-11-13 15:30:00","W220_8913B8",16.3833333333333,14.9333333333333,-10.4166666666667,0,4,0,17
"2023-11-13 16:00:00","W220_8913B8",16.5,15.7833333333333,-9.65,0,0,0,22
"2023-11-13 16:30:00","W220_8913B8",16.5,16.25,-9.26666666666667,0,0,0,12
"2023-11-13 17:00:00","W220_8913B8",16.4666666666667,16.4666666666667,-9.15,0,0,0,10
"2023-11-13 17:30:00","W220_8913B8",16.2833333333333,16.2333333333333,-9.48333333333333,0,2,0,24
"2023-11-13 18:00:00","W220_8913B8",16.2833333333333,16.6666666666667,-9.13333333333333,0,0,1,18
"2023-11-13 18:30:00","W220_8913B8",16.2,17.35,-8.66666666666667,0,2,0,12
"2023-11-13 19:00:00","W220_8913B8",16.1833333333333,17.65,-8.46666666666667,0,0,0,18
"2023-11-13 19:30:00","W220_8913B8",16.2,17.35,-8.66666666666667,0,0,0,20
"2023-11-13 20:00:00","W220_8913B8",16,17.1,-9.03333333333333,0,0,0,21
"2023-11-13 20:30:00","W220_8913B8",15.8833333333333,16.6333333333333,-9.51666666666667,0,0,0,24
"2023-11-13 21:00:00","W220_8913B8",15.5666666666667,16.65,-9.75,0,0,0,19
"2023-11-13 21:30:00","W220_8913B8",15.55,16.8,-9.65,0,0,0,16
