"date","mac_address","plug","temperature","humidity","dew_point","door1","door2","motion1","motion2"
"2023-11-06 00:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 00:30:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 01:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 01:30:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 02:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 02:30:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 03:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 03:30:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 04:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 04:30:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 05:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 05:30:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 06:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 06:30:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 07:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 07:30:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 08:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 08:30:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 09:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 09:30:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 10:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 10:30:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 11:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 11:30:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 12:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 12:30:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 13:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 13:30:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 14:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 14:30:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 15:00:00","W220_8917F0",NA,NA,NA,NA,NA,NA,NA,NA
"2023-11-06 15:30:00","W220_8917F0",0,23.35,32.3166666666667,5.53333333333333,0,0,0,0
"2023-11-06 16:00:00","W220_8917F0",2.7,27.9166666666667,25.8,6.46666666666667,8,8,8,15
"2023-11-06 16:30:00","W220_8917F0",2.9,28.6166666666667,24.55,6.35,0,0,9,17
"2023-11-06 17:00:00","W220_8917F0",3.6,28.85,24.1333333333333,6.3,0,0,18,4
"2023-11-06 17:30:00","W220_8917F0",2.8,28.9166666666667,23.8833333333333,6.23333333333333,0,0,18,3
"2023-11-06 18:00:00","W220_8917F0",1.4,28.9,23.55,6,4,12,2,15
"2023-11-06 18:30:00","W220_8917F0",1946.6,28.8666666666667,23.2833333333333,5.8,0,0,24,12
"2023-11-06 19:00:00","W220_8917F0",1.4,28.5666666666667,22.6,5.11666666666667,0,0,10,9
"2023-11-06 19:30:00","W220_8917F0",1822.7,28.5333333333333,22.8666666666667,5.23333333333333,0,2,11,14
"2023-11-06 20:00:00","W220_8917F0",1537.9,28.55,22.9333333333333,5.33333333333333,0,0,6,22
"2023-11-06 20:30:00","W220_8917F0",1834.3,28.3666666666667,23.0333333333333,5.21666666666667,0,0,0,25
"2023-11-06 21:00:00","W220_8917F0",197.4,28.0833333333333,22.9,4.91666666666667,0,0,2,13
"2023-11-06 21:30:00","W220_8917F0",454.3,28.0666666666667,22.7,4.76666666666667,0,0,2,7
"2023-11-06 22:00:00","W220_8917F0",125.8,27.95,22.5833333333333,4.56666666666667,0,0,6,15
"2023-11-06 22:30:00","W220_8917F0",2.8,27.8333333333333,22.2666666666667,4.26666666666667,0,0,6,6
"2023-11-06 23:00:00","W220_8917F0",2.6,27.7333333333333,21.9166666666667,3.98333333333333,0,0,19,7
"2023-11-06 23:30:00","W220_8917F0",1.7,27.6666666666667,21.6833333333333,3.76666666666667,0,0,10,8
"2023-11-07 00:00:00","W220_8917F0",1.4,27.65,21.6833333333333,3.76666666666667,0,0,6,13
"2023-11-07 00:30:00","W220_8917F0",3.2,27.6166666666667,21.6833333333333,3.71666666666667,0,0,3,4
"2023-11-07 01:00:00","W220_8917F0",4,27.5,21.6,3.56666666666667,0,0,1,8
"2023-11-07 01:30:00","W220_8917F0",3.1,27.4333333333333,21.4666666666667,3.45,0,0,2,4
"2023-11-07 02:00:00","W220_8917F0",3.3,27.3166666666667,21.4,3.31666666666667,0,0,3,6
"2023-11-07 02:30:00","W220_8917F0",3.7,27.1833333333333,21.4,3.18333333333333,0,0,1,12
"2023-11-07 03:00:00","W220_8917F0",3.8,27.1,21.35,3.06666666666667,0,0,2,13
"2023-11-07 03:30:00","W220_8917F0",3.8,26.9833333333333,21.25,2.91666666666667,0,0,0,4
"2023-11-07 04:00:00","W220_8917F0",2.1,26.9166666666667,21.2166666666667,2.83333333333333,0,0,4,6
"2023-11-07 04:30:00","W220_8917F0",3.4,26.8666666666667,21.2666666666667,2.81666666666667,0,0,0,8
"2023-11-07 05:00:00","W220_8917F0",2.7,26.7666666666667,21.2333333333333,2.73333333333333,0,0,0,9
"2023-11-07 05:30:00","W220_8917F0",2.1,26.6833333333333,21.2166666666667,2.66666666666667,0,0,0,8
"2023-11-07 06:00:00","W220_8917F0",2.5,26.6,21.2666666666667,2.6,0,0,0,4
"2023-11-07 06:30:00","W220_8917F0",3.6,26.4666666666667,21.2166666666667,2.48333333333333,0,0,0,8
"2023-11-07 07:00:00","W220_8917F0",2.5,26.35,21.1833333333333,2.36666666666667,0,0,4,14
"2023-11-07 07:30:00","W220_8917F0",1.1,26.15,21.05,2.13333333333333,0,6,9,13
"2023-11-07 08:00:00","W220_8917F0",3.2,26.3166666666667,21.0833333333333,2.23333333333333,0,0,15,19
"2023-11-07 08:30:00","W220_8917F0",1.6,26.9333333333333,20.9166666666667,2.65,0,0,4,7
"2023-11-07 09:00:00","W220_8917F0",2.3,27.4666666666667,19.9166666666667,2.38333333333333,2,5,7,29
"2023-11-07 09:30:00","W220_8917F0",3.7,27.7666666666667,18.35,1.48333333333333,0,0,23,6
"2023-11-07 10:00:00","W220_8917F0",2.2,27.7333333333333,16.9166666666667,0.3,0,0,15,6
"2023-11-07 10:30:00","W220_8917F0",611.5,27.9833333333333,17.4166666666667,0.95,2,0,17,17
"2023-11-07 11:00:00","W220_8917F0",2.7,27.8833333333333,17.6666666666667,1.03333333333333,4,0,21,4
"2023-11-07 11:30:00","W220_8917F0",2.9,27.55,17.0833333333333,0.35,0,0,20,8
